feature,gini_importance,permutation_importance_mean,permutation_importance_std
discourse_abstract_vocab_density,0.12583333333333332,0.0,0.0
dist_human_mahalanobis,0.09559090909090909,0.0,0.0
dist_human_euclidean,0.07531165311653117,0.0,0.0
surface_pos_pronoun_ratio,0.07421688726914993,0.0,0.0
surface_word_entropy,0.07347814901190565,0.0,0.0
discourse_concrete_abstract_ratio,0.054478147847490076,0.0,0.0
surface_sent_len_cv,0.05143631436314362,0.0,0.0
surface_para_len_mean,0.05111363636363636,0.0,0.0
surface_pos_adj_ratio,0.04806034482758621,0.0,0.0
surface_compression_ratio,0.04017440960792757,0.0,0.0
surface_root_ttr,0.03415854560284557,0.0,0.0
surface_sent_len_std,0.034073313364712594,0.0,0.0
surface_sent_len_median,0.02596648404769578,0.0,0.0
surface_sent_delta_variance,0.023503264350825327,0.0,0.0
surface_emdash_rate,0.02216403112445102,0.0,0.0
surface_bigram_entropy,0.020424242424242425,0.0,0.0
surface_pos_adv_ratio,0.01937722048066876,0.0,0.0
surface_stopword_ratio,0.017387464800731268,0.0,0.0
surface_sent_len_mean,0.01671212121212121,0.0,0.0
surface_char_entropy,0.013633468834688349,0.0,0.0
discourse_concrete_density,0.011180696416497634,0.0,0.0
surface_comma_rate,0.011058769716553792,0.0,0.0
surface_ttr,0.010915887850467291,0.0,0.0
surface_quote_rate,0.01,0.0,0.0
surface_para_len_std,0.00878048780487805,0.0,0.0
surface_semicolon_rate,0.008526315789473682,0.0,0.0
surface_top10_concentration,0.0061286031042128595,0.0,0.0
discourse_reflection_body_ratio,0.003379310344827585,0.0,0.0
surface_hapax_ratio,0.0022105263157894735,0.0,0.0
surface_pos_noun_ratio,0.0021439580259058877,0.0,0.0
discourse_reflection_density,0.0017355371900826446,0.0,0.0
surface_colon_rate,0.0013279132791327913,0.0,0.0
discourse_reflection_conclusion_ratio,0.00125,0.0,0.0
dist_structural_dispersion,0.0012280701754385968,0.0,0.0
surface_passive_ratio,0.0012195121951219519,0.0,0.0
dist_human_cosine,0.0010158730158730154,0.0,0.0
discourse_agency_action_density,0.0008045977011494253,0.0,0.0
surface_sent_delta_mean_abs,0.0,0.0,0.0
surface_pos_verb_ratio,0.0,0.0,0.0
surface_pos_prep_ratio,0.0,0.0,0.0
discourse_agency_passive_density,0.0,0.0,0.0
surface_parentheses_rate,0.0,0.0,0.0
discourse_causal_density,0.0,0.0,0.0
discourse_reflection_intro_ratio,0.0,0.0,0.0
discourse_agency_ratio,0.0,0.0,0.0
discourse_formulaic_moral_density,0.0,0.0,0.0
discourse_reflection_mean_pos,0.0,0.0,0.0
discourse_temporal_density,0.0,0.0,0.0
